Exposure,Concentration,conc,ache,Control,Year
Diazinon,H20,0,86.6494077,Yes,2005
Diazinon,H20,0,98.46487533,Yes,2005
Diazinon,H20,0,68.53473786,Yes,2005
Diazinon,H20,0,97.86709249,Yes,2005
Diazinon,H20,0,93.89157249,Yes,2005
Diazinon,H20,0,110.8067092,Yes,2005
Diazinon,H20,0,97.4465285,Yes,2005
Diazinon,H20,0,101.5569464,Yes,2005
Diazinon,MEOH,0,94.30420132,Yes,2005
Diazinon,MEOH,0,103.2630079,Yes,2005
Diazinon,MEOH,0,100.9670988,Yes,2005
Diazinon,MEOH,0,94.83321265,Yes,2005
Diazinon,MEOH,0,112.0657561,Yes,2005
Diazinon,MEOH,0,99.72921234,Yes,2005
Diazinon,MEOH,0,98.028441,Yes,2005
Diazinon,MEOH,0,96.8090699,Yes,2005
Diazinon,0.1,0.1,115.9301838,No,2005
Diazinon,0.1,0.1,111.6928032,No,2005
Diazinon,0.1,0.1,98.20830479,No,2005
Diazinon,0.1,0.1,98.89601952,No,2005
Diazinon,0.1,0.1,160.139659,No,2005
Diazinon,0.1,0.1,105.1330629,No,2005
Diazinon,0.1,0.1,104.0538798,No,2005
Diazinon,0.1,0.1,107.2067872,No,2005
Diazinon,1,1,96.39908611,No,2005
Diazinon,1,1,101.488175,No,2005
Diazinon,1,1,108.1748779,No,2005
Diazinon,1,1,110.3200188,No,2005
Diazinon,1,1,85.39036075,No,2005
Diazinon,1,1,99.59960459,No,2005
Diazinon,1,1,102.0727324,No,2005
Diazinon,1,1,97.44388347,No,2005
Diazinon,5,5,105.7890369,No,2005
Diazinon,5,5,114.2003168,No,2005
Diazinon,5,5,88.17296027,No,2005
Diazinon,5,5,98.39081369,No,2005
Diazinon,5,5,99.42767589,No,2005
Diazinon,5,5,95.79336818,No,2005
Diazinon,5,5,98.12366303,No,2005
Diazinon,5,5,94.91520938,No,2005
Diazinon,10,10,100.4169271,No,2005
Diazinon,10,10,99.53612323,No,2005
Diazinon,10,10,86.86894734,No,2005
Diazinon,10,10,89.20717736,No,2005
Diazinon,10,10,101.863773,No,2005
Diazinon,10,10,101.0332252,No,2005
Diazinon,10,10,97.98612004,No,2005
Diazinon,10,10,97.48091429,No,2005
Diazinon,50,50,71.34802001,No,2005
Diazinon,50,50,68.4712565,No,2005
Diazinon,50,50,57.90002347,No,2005
Diazinon,50,50,64.36718675,No,2005
Diazinon,50,50,69.6639125,No,2005
Diazinon,50,50,71.72573409,No,2005
Diazinon,50,50,53.55842765,No,2005
Diazinon,50,50,55.32744147,No,2005
Diazinon,MEOH,0,72.93373141,Yes,2005
Diazinon,MEOH,0,102.1547292,Yes,2005
Diazinon,MEOH,0,91.97126143,Yes,2005
Diazinon,MEOH,0,97.25740698,Yes,2005
Diazinon,MEOH,0,96.04993864,Yes,2005
Diazinon,MEOH,0,103.0937243,Yes,2005
Diazinon,MEOH,0,85.43797177,Yes,2005
Diazinon,MEOH,0,94.6110279,Yes,2005
Diazinon,100,100,48.13791325,No,2005
Diazinon,100,100,53.25186559,No,2005
Diazinon,100,100,47.798817,No,2005
Diazinon,100,100,48.91265031,No,2005
Diazinon,100,100,45.00590178,No,2005
Diazinon,100,100,54.88254296,No,2005
Diazinon,100,100,44.96860649,No,2005
Diazinon,100,100,48.21938099,No,2005
Diazinon,500,500,47.90104843,No,2005
Diazinon,500,500,25.77819217,No,2005
Diazinon,500,500,22.70093337,No,2005
Diazinon,500,500,33.68902731,No,2005
Diazinon,500,500,35.06048914,No,2005
Diazinon,500,500,36.02117368,No,2005
Diazinon,500,500,26.71374867,No,2005
Diazinon,500,500,22.41579628,No,2005
Diazinon,H2O,0,95.07411909,Yes,2008
Diazinon,H2O,0,105.0862697,Yes,2008
Diazinon,H2O,0,112.0656136,Yes,2008
Diazinon,H2O,0,105.200486,Yes,2008
Diazinon,H2O,0,92.43013364,Yes,2008
Diazinon,H2O,0,100.4252734,Yes,2008
Diazinon,H2O,0,124.1312273,Yes,2008
Diazinon,H2O,0,96.47630618,Yes,2008
Diazinon,MEOH,0,63.56986635,Yes,2008
Diazinon,MEOH,0,95.08869989,Yes,2008
Diazinon,MEOH,0,101.6816525,Yes,2008
Diazinon,MEOH,0,115.1688943,Yes,2008
Diazinon,MEOH,0,98.80923449,Yes,2008
Diazinon,MEOH,0,109.6646415,Yes,2008
Diazinon,MEOH,0,97.27822664,Yes,2008
Diazinon,MEOH,0,87.84931036,Yes,2008
Diazinon,43,43,43.07775381,No,2008
Diazinon,43,43,63.64056777,No,2008
Diazinon,43,43,43.81772932,No,2008
Diazinon,43,43,65.14919437,No,2008
Diazinon,43,43,40.07605344,No,2008
Diazinon,43,43,59.53437192,No,2008
Diazinon,43,43,51.57495709,No,2008
Diazinon,43,43,56.46900208,No,2008
Diazinon,145,145,32.16791442,No,2008
Diazinon,145,145,32.07605539,No,2008
Diazinon,145,145,48.0631718,No,2008
Diazinon,145,145,39.39294304,No,2008
Diazinon,145,145,35.76985765,No,2008
Diazinon,145,145,25.82453808,No,2008
Diazinon,145,145,33.17034431,No,2008
Diazinon,145,145,36.88869091,No,2008
Diazinon,435,435,37.96912808,No,2008
Diazinon,435,435,36.96645517,No,2008
Diazinon,435,435,17.54531773,No,2008
Diazinon,435,435,28.64227737,No,2008
Diazinon,435,435,24.88699274,No,2008
Diazinon,435,435,27.47289734,No,2008
Diazinon,435,435,32.83765909,No,2008
Diazinon,435,435,29.5286684,No,2008
