Exposure,Concentration,moles,ache,Control,Year,conc
Malathion,0,0,89.88119738,Yes,2005,0
Malathion,0,0,102.1373502,Yes,2005,0
Malathion,0,0,71.09089911,Yes,2005,0
Malathion,0,0,101.5172716,Yes,2005,0
Malathion,0,0,97.39347543,Yes,2005,0
Malathion,0,0,114.9395012,Yes,2005,0
Malathion,0,0,101.0810217,Yes,2005,0
Malathion,0,0,105.3447471,Yes,2005,0
Malathion,MEOH-1,0,104.4804785,Yes,2005,0
Malathion,MEOH-2,0,100.1481603,Yes,2005,0
Malathion,MEOH-3,0,98.59796419,Yes,2005,0
Malathion,MEOH-4,0,100.9026806,Yes,2005,0
Malathion,MEOH-5,0,102.7217604,Yes,2005,0
Malathion,MEOH-6,0,95.39056712,Yes,2005,0
Malathion,MEOH-7,0,101.9699838,Yes,2005,0
Malathion,MEOH-8,0,90.56986855,Yes,2005,0
Malathion,0.5-1,0,95.6292699,No,2005,0.5
Malathion,0.5-2,0,102.2580733,No,2005,0.5
Malathion,0.5-3,0,102.4199523,No,2005,0.5
Malathion,0.5-4,0,99.52259445,No,2005,0.5
Malathion,0.5-5,0,104.6533322,No,2005,0.5
Malathion,0.5-6,0,102.4912887,No,2005,0.5
Malathion,0.5-7,0,102.1675309,No,2005,0.5
Malathion,0.5-8,0,101.4678848,No,2005,0.5
Malathion,1.0-1,0,95.80761108,No,2005,1
Malathion,1.0-2,0,93.71690403,No,2005,1
Malathion,1.0-3,0,97.31116413,No,2005,1
Malathion,1.0-4,0,96.83924603,No,2005,1
Malathion,1.0-5,0,107.4903284,No,2005,1
Malathion,1.0-6,0,96.29599144,No,2005,1
Malathion,1.0-7,0,105.9593382,No,2005,1
Malathion,1.0-8,0,108.8676708,No,2005,1
Malathion,2.0-1,0,97.19867207,No,2005,2
Malathion,2.0-2,0,99.46223286,No,2005,2
Malathion,2.0-3,0,113.5484402,No,2005,2
Malathion,2.0-4,0,115.9052871,No,2005,2
Malathion,2.0-5,0,108.3024666,No,2005,2
Malathion,2.0-6,0,105.7645348,No,2005,2
Malathion,2.0-7,0,95.76919911,No,2005,2
Malathion,2.0-8,0,95.52500889,No,2005,2
Malathion,3.0-1,0,108.137844,No,2005,30
Malathion,3.0-2,0,105.3337723,No,2005,30
Malathion,3.0-3,0,87.47221994,No,2005,30
Malathion,3.0-4,0,105.7782534,No,2005,30
Malathion,3.0-5,0,106.3407139,No,2005,30
Malathion,3.0-6,0,106.2721212,No,2005,30
Malathion,3.0-7,0,97.66784649,No,2005,30
Malathion,3.0-8,0,109.6606031,No,2005,30
Malathion,30.0-1,0,71.54470876,No,2005,30
Malathion,30.0-2,0,92.7538618,No,2005,30
Malathion,30.0-3,0,72.22432573,No,2005,30
Malathion,30.0-4,0,76.80110846,No,2005,30
Malathion,30.0-5,0,75.10083134,No,2005,30
Malathion,30.0-6,0,56.27321864,No,2005,30
Malathion,30.0-7,0,61.14330398,No,2005,30
Malathion,30.0-8,0,73.71827585,No,2005,30
Malathion,100.0-1,0,49.87433808,No,2005,100
Malathion,100.0-2,0,54.31036848,No,2005,100
Malathion,100.0-3,0,41.24482124,No,2005,100
Malathion,100.0-4,0,49.09183198,No,2005,100
Malathion,100.0-5,0,38.48327708,No,2005,100
Malathion,100.0-6,0,30.88896205,No,2005,100
Malathion,100.0-7,0,24.39158229,No,2005,100
Malathion,100.0-8,0,46.51356764,No,2005,100
Malathion,300.0-1,0,9.47348204,No,2005,300
Malathion,300.0-2,0,14.13065547,No,2005,300
Malathion,300.0-3,0,7.275221555,No,2005,300
Malathion,300.0-4,0,4.476637309,No,2005,300
Malathion,300.0-5,0,7.542184542,No,2005,300
Malathion,300.0-6,0,2.988723352,No,2005,300
Malathion,300.0-7,0,1.348533487,No,2005,300
Malathion,300.0-8,0,1.312590886,No,2005,300
Malathion,10.0-1,0,96.62798033,No,2005,10
Malathion,10.0-2,0,102.7876094,No,2005,10
Malathion,10.0-3,0,100.0301808,No,2005,10
Malathion,10.0-4,0,87.4886822,No,2005,10
Malathion,10.0-5,0,82.81833896,No,2005,10
Malathion,10.0-6,0,92.78129887,No,2005,10
Malathion,10.0-7,0,107.8278048,No,2005,10
Malathion,10.0-8,0,90.67961701,No,2005,10
